route_id,from_city,to_city,date,provider,train_name,train_type,departure_station,arrival_station,departure_time,arrival_time,duration,journey_type,connection_city,connection_wait,available_seats,total_seats,base_price,senior_price,youth_price,child_price,currency,class_options,wifi,power_socket,meal_service,baggage_rule,refund_rule,change_policy,pet_policy,platform_info,boarding_requirement,carbon_kg,delay_minutes,status
ER0001,Paris,Barcelona,2026-05-10,SNCF,OUIGO 3757,International,Paris Gare du Nord,Barcelona Sants,07:45,12:46,5h 01m,Direct,None,None,84,250,35,28,30,20,EUR,Standard;Comfort,Yes,Yes,Snack service,1 cabin bag included,Non-refundable,Change with fee,Small pets allowed,Announced 20 min before,Arrive 15 min early,9,0,Available
ER0002,Barcelona,Lyon,2026-05-11,SNCF,TER 9991,Regional,Barcelona Sants,Lyon Part-Dieu,19:40,22:08,2h 28m,Connection,Vienna,30m,180,500,121,98,103,55,EUR,Standard;First Class,Yes,Yes,Snack service,1 cabin bag included,Refundable depending on fare,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 30 min early,17,0,Available
ER0003,Frankfurt,Cologne,2026-05-21,DB,EC 2903,Night Train,Frankfurt Hbf,Köln Hbf,19:30,23:13,3h 43m,Connection,Hamburg,40m,48,634,87,74,75,46,EUR,Standard;Comfort,Yes,No,Snack service,Large baggage chargeable,Refundable with fee,Flexible fare available,Small pets allowed,Announced 15 min before,Arrive 30 min early,31,0,Available
ER0004,Prague,Vienna,2026-05-16,CD,EuroCity 1589,Night Train,Praha hlavní nádraží,Wien Hbf,09:50,12:36,2h 46m,Connection,Zurich,30m,139,420,93,81,81,42,EUR,Standard;Comfort,Yes,Yes,Business only,Large baggage chargeable,Refundable with fee,No change allowed,Pets allowed,Announced 30 min before,Arrive 30 min early,36,10,Available
ER0005,Berlin,Amsterdam,2026-05-18,DB,EC 4989,Intercity,Berlin Hbf,Amsterdam Centraal,16:10,22:11,6h 01m,Connection,Cologne,20m,24,500,146,113,131,89,EUR,Standard;First Class,Yes,No,Yes,2 bags + 1 cabin bag,Refundable with fee,No change allowed,Small pets allowed,Announced 20 min before,Arrive 60 min early,17,0,Available
ER0006,Vienna,Munich,2026-05-22,ÖBB,Nightjet 6637,High-Speed,Wien Hbf,München Hbf,21:35,00:01,2h 26m,Direct,None,None,95,250,87,70,65,51,EUR,Standard;First Class,Yes,Yes,No,2 bags + 1 cabin bag,Non-refundable,No change allowed,Small pets allowed,Announced 30 min before,Arrive 20 min early,34,0,Available
ER0007,Frankfurt,Paris,2026-05-22,DB,ICE 1645,Intercity,Frankfurt Hbf,Paris Montparnasse,16:30,21:25,4h 55m,Direct,None,None,70,634,44,34,35,27,EUR,Second Class;First Class,Yes,No,Cafe bar,1 cabin bag included,Refundable depending on fare,Change with fee,Pets allowed,Announced 20 min before,Arrive 15 min early,7,0,Available
ER0008,Vienna,Munich,2026-05-23,ÖBB,Railjet 3972,Night Train,Wien Hbf,München Hbf,20:35,23:49,3h 14m,Connection,Lyon,35m,119,420,96,83,83,48,EUR,Second Class;First Class,Yes,Yes,Business only,2 bags + 1 cabin bag,Refundable up to 24h,Free change,Guide dogs only,Announced 15 min before,Arrive 15 min early,34,10,Available
ER0009,Geneva,Paris,2026-05-24,SNCF,TGV INOUI 8420,Regional,Geneva Cornavin,Paris Gare du Nord,07:45,09:44,1h 59m,Direct,None,None,83,300,39,31,31,22,EUR,Economy;Business,Yes,Yes,Business only,Large baggage chargeable,Refundable with fee,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 15 min early,4,0,Available
ER0010,Zurich,Vienna,2026-05-19,SBB,InterCity 8908,Intercity,Zurich HB,Wien Hbf,09:25,16:27,7h 02m,Direct,None,None,97,300,103,87,81,60,EUR,Standard;Comfort,Yes,Yes,No,2 bags + 1 cabin bag,Non-refundable,Flexible fare available,Small pets allowed,Announced 30 min before,Arrive 30 min early,17,30,Available
ER0011,Frankfurt,Berlin,2026-05-18,DB,IC 932,High-Speed,Frankfurt Hbf,Berlin Ostbahnhof,13:00,14:26,1h 26m,Direct,None,None,87,300,70,58,58,37,EUR,Economy;Business,No,Yes,Business only,2 bags + 1 cabin bag,Refundable depending on fare,Change with fee,Pets allowed,Announced 20 min before,Arrive 30 min early,6,0,Available
ER0012,Madrid,Barcelona,2026-05-13,Renfe,Alvia 1784,High-Speed,Madrid Atocha,Barcelona Sants,09:15,12:22,3h 07m,Connection,Prague,20m,105,300,134,113,117,82,EUR,Second Class;First Class,Yes,No,Cafe bar,2 bags + 1 cabin bag,Refundable depending on fare,Flexible fare available,Guide dogs only,Announced 15 min before,Arrive 20 min early,5,0,Available
ER0013,Berlin,Prague,2026-05-16,DB+RegioJet,IC 8446,High-Speed,Berlin Ostbahnhof,Praha hlavní nádraží,05:05,08:43,3h 38m,Direct,None,None,172,380,140,108,121,75,EUR,Second Class;First Class,No,Yes,Business only,2 bags allowed,Refundable depending on fare,Free change,Small pets allowed,Announced 20 min before,Arrive 60 min early,8,45,Available
ER0014,Amsterdam,Paris,2026-05-19,Eurostar,Eurostar 5020,Intercity,Amsterdam Centraal,Paris Montparnasse,15:30,22:51,7h 21m,Direct,None,None,117,300,142,115,115,87,EUR,Second Class;First Class,No,Limited,Snack service,Large baggage chargeable,Refundable depending on fare,Change with fee,Pets not allowed,Announced 30 min before,Arrive 20 min early,9,0,Available
ER0015,Frankfurt,Vienna,2026-05-18,DB,ICE 3948,International,Frankfurt Hbf,Wien Hbf,11:10,12:47,1h 37m,Direct,None,None,38,420,145,114,122,70,EUR,Second Class;First Class,Yes,Yes,Yes,2 bags allowed,Refundable depending on fare,Change with fee,Small pets allowed,Announced 30 min before,Arrive 60 min early,7,10,Available
ER0016,Vienna,Zurich,2026-05-13,ÖBB,Nightjet 2284,Regional,Wien Hbf,Zurich HB,19:45,04:07,8h 22m,Direct,None,None,160,500,230,171,202,124,EUR,Second Class;First Class,Yes,Limited,Snack service,2 bags allowed,Non-refundable,Change with fee,Guide dogs only,Announced 20 min before,Arrive 30 min early,38,10,Available
ER0017,Paris,Berlin,2026-05-12,Eurostar+DB,Eurostar 1152,Regional,Paris Montparnasse,Berlin Ostbahnhof,15:40,23:26,7h 46m,Direct,None,None,169,420,118,101,98,64,EUR,Second Class;First Class,Limited,Yes,Snack service,2 bags + 1 cabin bag,Non-refundable,No change allowed,Pets not allowed,Announced 15 min before,Arrive 60 min early,25,30,Available
ER0018,Rome,Milan,2026-05-21,Trenitalia,Frecciargento 2191,Regional,Roma Termini,Milano Centrale,05:05,07:24,2h 19m,Direct,None,None,86,420,126,97,103,65,EUR,Second Class;First Class,Yes,Yes,Snack service,2 bags allowed,Refundable up to 24h,Flexible fare available,Small pets allowed,Announced 30 min before,Arrive 15 min early,6,20,Available
ER0019,Paris,Marseille,2026-05-13,SNCF,TGV INOUI 2596,Intercity,Paris Gare du Nord,Marseille Saint-Charles,20:50,23:13,2h 23m,Direct,None,None,85,300,123,91,103,73,EUR,Standard;Comfort,Yes,Yes,Business only,Large baggage chargeable,Refundable depending on fare,Change with fee,Pets allowed,Announced 30 min before,Arrive 20 min early,10,0,Available
ER0020,Amsterdam,Brussels,2026-05-23,Eurostar,Eurostar 5788,International,Amsterdam Centraal,Brussels Midi,07:40,09:48,2h 08m,Direct,None,None,0,420,56,44,45,35,EUR,Economy;Business,Limited,Yes,No,1 cabin bag included,Refundable depending on fare,No change allowed,Pets not allowed,Announced 30 min before,Arrive 30 min early,24,0,Sold Out
ER0021,Frankfurt,Paris,2026-05-23,DB,IC 4095,Night Train,Frankfurt Hbf,Paris Montparnasse,15:00,20:38,5h 38m,Connection,Brussels,75m,86,300,116,88,97,72,EUR,Economy;Business,Yes,Yes,Snack service,Large baggage chargeable,Refundable with fee,No change allowed,Pets not allowed,Announced 20 min before,Arrive 15 min early,9,5,Available
ER0022,Frankfurt,Vienna,2026-05-13,DB,IC 9628,Night Train,Frankfurt Hbf,Wien Hbf,21:25,02:27,5h 02m,Connection,Hamburg,50m,89,380,107,81,82,52,EUR,Economy;Business,Yes,Yes,Snack service,1 cabin bag included,Non-refundable,Free change,Small pets allowed,Announced 20 min before,Arrive 20 min early,27,0,Available
ER0023,Berlin,Amsterdam,2026-05-14,DB,EC 8851,High-Speed,Berlin Hbf,Amsterdam Centraal,06:00,12:08,6h 08m,Direct,None,None,145,300,140,101,110,76,EUR,Standard;Comfort,Limited,Yes,Yes,Large baggage chargeable,Refundable depending on fare,Free change,Pets allowed,Announced 15 min before,Arrive 20 min early,23,0,Available
ER0024,Paris,Berlin,2026-05-13,Eurostar+DB,Eurostar 7481,High-Speed,Paris Montparnasse,Berlin Ostbahnhof,18:20,02:58,8h 38m,Direct,None,None,126,634,129,106,99,62,EUR,Second Class;First Class,Limited,No,Business only,2 bags allowed,Refundable with fee,Flexible fare available,Guide dogs only,Announced 30 min before,Arrive 60 min early,8,0,Available
ER0025,Berlin,Hamburg,2026-05-24,DB,EC 9763,Night Train,Berlin Hbf,Hamburg Hbf,08:40,12:00,3h 20m,Direct,None,None,0,380,47,34,40,26,EUR,Standard;Comfort,Limited,Yes,Snack service,1 cabin bag included,Refundable depending on fare,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 15 min early,6,0,Sold Out
ER0026,Milan,Rome,2026-05-21,Italo,Italo 523,Night Train,Milano Centrale,Roma Termini,05:50,14:15,8h 25m,Direct,None,None,0,250,133,106,108,67,EUR,Second Class;First Class,Limited,Yes,Snack service,1 cabin bag included,Refundable depending on fare,Flexible fare available,Guide dogs only,Announced 30 min before,Arrive 15 min early,14,0,Sold Out
