booking_id,pnr,route_id,from_city,to_city,provider,train_name,train_type,journey_type,booking_date,travel_date,days_until_departure,weekday,is_weekend,is_peak_season,departure_time,arrival_time,duration,duration_minutes,available_seats_at_booking,total_seats,occupancy_rate_at_booking,demand_level,delay_minutes,wifi,class_type,passenger_type,seat_number,booking_channel,base_price_at_booking,paid_price,currency,booking_status
PBK000001,PNR329258,ER0968,Munich,Vienna,SNCB,EuroCity 1186,EuroCity,Connection,2025-11-24,2025-12-09,15,1,0,1,10:30,13:08,2h 38m,158,8,300,0.971,8,10,Yes,Standard,regular,1A,web,196.08,196.08,EUR,Confirmed
PBK000002,PNR456778,ER0229,London,Paris,SNCF+DB,TER+ICE 5921,TER+ICE,Connection,2025-01-14,2025-03-27,72,3,0,0,18:45,23:05,4h 20m,260,15,180,0.916,9,15,Yes,Standard,senior,6D,web,188.72,154.75,EUR,Confirmed
PBK000003,PNR496922,ER0351,Berlin,Frankfurt,Trenitalia,Frecciarossa 6329,Frecciarossa,Direct,2026-01-26,2026-03-11,44,2,0,0,11:55,14:00,2h 5m,125,52,180,0.71,5,45,Yes,Standard,senior,18A,api_partner,141.56,116.08,EUR,Confirmed
PBK000004,PNR205907,ER0728,Berlin,Munich,Eurostar+SNCF,Eurostar+TGV 4572,Eurostar+TGV,Connection,2026-03-01,2026-05-21,81,3,0,0,12:25,15:14,2h 49m,169,135,450,0.699,6,0,Yes,Standard,regular,3B,agent_portal,119.07,119.07,EUR,Confirmed
PBK000005,PNR271339,ER0278,Lyon,Barcelona,SBB,InterCity 6045,InterCity,Connection,2025-11-22,2026-03-09,107,0,0,0,06:55,10:05,3h 10m,190,418,600,0.303,2,5,Yes,Standard,regular,18B,mobile_app,87.31,87.31,EUR,Confirmed
PBK000006,PNR380746,ER0902,Lisbon,Madrid,SBB,InterCity 4162,InterCity,Direct,2026-04-19,2026-07-10,82,4,0,1,09:45,12:10,2h 25m,145,96,450,0.786,8,45,Yes,Standard,regular,11D,web,161.17,161.17,EUR,Confirmed
PBK000007,PNR883300,ER0141,Cologne,Frankfurt,SBB,IR 9259,IR,Direct,2025-10-18,2026-02-08,113,6,1,0,10:20,11:44,1h 24m,84,118,220,0.461,4,0,Yes,First Class,regular,8C,mobile_app,116.02,116.02,EUR,Confirmed
PBK000008,PNR725380,ER0981,Madrid,Barcelona,Eurostar,Eurostar 4620,Eurostar,Connection,2025-10-26,2025-12-17,52,2,0,1,16:20,19:50,3h 30m,210,51,180,0.716,6,20,No,Standard,youth,6D,mobile_app,232.4,199.86,EUR,Confirmed
PBK000009,PNR407757,ER0102,Paris,Brussels,Trenitalia,Frecciarossa 8299,Frecciarossa,Direct,2025-11-02,2026-01-01,60,3,0,0,12:35,14:22,1h 47m,107,232,450,0.483,1,20,No,Standard,regular,11A,agent_portal,91.11,91.11,EUR,Confirmed
PBK000010,PNR260263,ER0808,Munich,Vienna,NS,Intercity 1224,Intercity,Connection,2025-01-02,2025-04-05,93,5,1,0,21:40,01:43,4h 3m,243,51,180,0.716,7,0,Yes,Standard,youth,17B,agent_portal,138.29,118.93,EUR,Confirmed
PBK000011,PNR352572,ER0878,Madrid,Seville,SNCF+DB,TER+ICE 4581,TER+ICE,Connection,2025-10-04,2026-01-12,100,0,0,0,11:45,14:33,2h 48m,168,60,380,0.841,9,0,Yes,First Class,youth,8A,agent_portal,154.93,133.24,EUR,Cancelled
PBK000012,PNR322086,ER0476,Vienna,Prague,ÖBB,Regional 7477,Regional,Direct,2025-02-13,2025-05-18,94,6,1,0,18:00,21:40,3h 40m,220,167,380,0.56,4,5,No,First Class,regular,9D,mobile_app,110.94,110.94,EUR,Confirmed
PBK000013,PNR122056,ER0432,Hamburg,Munich,SNCF+DB,TGV+ICE 6315,TGV+ICE,Connection,2025-12-20,2026-01-15,26,3,0,0,16:30,21:11,4h 41m,281,7,380,0.98,8,0,Yes,First Class,regular,3C,mobile_app,210.4,210.4,EUR,Confirmed
PBK000014,PNR392004,ER0775,Brussels,Cologne,DB,ICE 559,ICE,Direct,2025-10-29,2025-11-27,29,3,0,0,18:40,19:37,0h 57m,57,10,520,0.98,10,15,No,First Class,youth,17B,web,183.12,157.48,EUR,Confirmed
PBK000015,PNR790993,ER0728,Berlin,Munich,Eurostar+SNCF,Eurostar+TGV 4572,Eurostar+TGV,Connection,2025-10-04,2025-10-21,17,1,0,0,12:25,15:14,2h 49m,169,9,450,0.98,8,0,Yes,Standard,senior,4A,mobile_app,171.24,140.42,EUR,Confirmed
PBK000016,PNR300896,ER0101,Lyon,Barcelona,ÖBB,Nightjet 1891,Nightjet,Connection,2025-07-30,2025-09-28,60,6,1,0,18:40,00:44,6h 4m,364,159,450,0.645,4,30,Yes,Standard,regular,4B,agent_portal,171.6,171.6,EUR,Confirmed
PBK000017,PNR274389,ER0161,Vienna,Prague,DB+ÖBB,ICE+Railjet 3553,ICE+Railjet,Connection,2025-03-13,2025-05-07,55,2,0,0,11:25,13:28,2h 3m,123,115,380,0.695,4,0,Yes,Standard,regular,3B,web,118.5,118.5,EUR,Confirmed
PBK000018,PNR830429,ER0090,Madrid,Barcelona,Trenitalia,Frecciarossa 5369,Frecciarossa,Connection,2025-04-20,2025-08-09,111,5,1,1,12:55,16:27,3h 32m,212,84,520,0.838,10,0,Yes,First Class,youth,10D,api_partner,223.44,192.16,EUR,Refunded
PBK000019,PNR627276,ER0844,Warsaw,Berlin,SNCF+DB,TER+ICE 1419,TER+ICE,Connection,2025-10-12,2026-01-05,85,0,0,0,22:35,02:14,3h 39m,219,126,300,0.577,5,45,Yes,First Class,senior,2D,web,133.47,109.45,EUR,Confirmed
PBK000020,PNR749468,ER0876,Prague,Berlin,ÖBB,Nightjet 8348,Nightjet,Connection,2025-09-18,2025-09-29,11,0,0,0,22:50,02:03,3h 13m,193,37,220,0.828,6,5,Yes,Standard,regular,19A,mobile_app,190.0,190.0,EUR,Confirmed
PBK000021,PNR431535,ER0806,Prague,Berlin,PKP,EIP 5773,EIP,Direct,2025-10-26,2026-01-07,73,2,0,0,15:40,17:44,2h 4m,124,268,450,0.404,2,0,No,Standard,regular,10D,mobile_app,80.22,80.22,EUR,Confirmed
PBK000022,PNR265409,ER0538,Marseille,Paris,Renfe,Avant 2956,Avant,Direct,2025-11-15,2026-01-27,73,1,0,0,09:35,13:26,3h 51m,231,119,300,0.6,5,10,Yes,Standard,youth,12C,mobile_app,118.56,101.96,EUR,Confirmed
PBK000023,PNR221035,ER0872,Munich,Vienna,Renfe,Alvia 6666,Alvia,Direct,2025-12-27,2026-02-04,39,2,0,0,17:35,20:53,3h 18m,198,253,600,0.578,2,0,Yes,Standard,youth,5C,web,92.63,79.66,EUR,Confirmed
PBK000024,PNR765095,ER0476,Vienna,Prague,ÖBB,Regional 7477,Regional,Direct,2025-03-21,2025-04-25,35,4,0,0,18:00,21:40,3h 40m,220,150,380,0.605,3,5,No,Standard,regular,2A,agent_portal,118.11,118.11,EUR,Confirmed
PBK000025,PNR217308,ER0571,Amsterdam,Berlin,ÖBB,Regional 4290,Regional,Direct,2025-01-23,2025-01-24,1,4,0,0,06:50,13:06,6h 16m,376,23,380,0.939,5,0,No,Standard,regular,18A,api_partner,184.67,184.67,EUR,Cancelled
PBK000026,PNR475190,ER0119,Paris,Amsterdam,SJ,InterCity 6144,InterCity,Connection,2025-12-20,2026-04-15,116,2,0,0,07:35,10:26,2h 51m,171,67,220,0.691,8,10,Yes,Standard,regular,12A,agent_portal,146.02,146.02,EUR,Confirmed
PBK000027,PNR532322,ER0455,Lyon,Barcelona,Eurostar+SNCF,Eurostar+TGV 483,Eurostar+TGV,Connection,2025-12-08,2025-12-22,14,0,0,1,08:55,13:00,4h 5m,245,128,520,0.753,3,0,Yes,Standard,youth,6B,mobile_app,189.49,162.96,EUR,Confirmed
PBK000028,PNR593554,ER0542,Paris,Berlin,DB+ÖBB,ICE+Railjet 7417,ICE+Railjet,Connection,2026-04-19,2026-06-01,43,0,0,1,09:15,15:52,6h 37m,397,90,300,0.698,4,10,Yes,Standard,regular,13A,web,187.0,187.0,EUR,Confirmed
PBK000029,PNR468203,ER0701,Hamburg,Munich,ÖBB,Regional 8921,Regional,Direct,2026-04-16,2026-06-14,59,6,1,1,10:30,17:18,6h 48m,408,3,180,0.98,9,5,No,First Class,regular,3C,agent_portal,220.67,220.67,EUR,Confirmed
PBK000030,PNR725550,ER0616,Marseille,Paris,DB,RE 2465,RE,Direct,2025-12-14,2026-04-01,108,2,0,0,05:50,14:58,9h 8m,548,171,220,0.219,1,0,Yes,Standard,regular,2A,agent_portal,151.45,151.45,EUR,Confirmed
PBK000031,PNR481913,ER0138,Hamburg,Munich,SNCF+DB,TGV+ICE 245,TGV+ICE,Connection,2026-02-07,2026-03-20,41,4,0,0,11:15,15:25,4h 10m,250,121,380,0.681,5,5,Yes,Standard,regular,1B,api_partner,177.78,177.78,EUR,Confirmed
PBK000032,PNR831076,ER0126,Zurich,Vienna,SNCB,EuroCity 2946,EuroCity,Direct,2025-12-07,2026-04-04,118,5,1,0,12:20,16:01,3h 41m,221,38,220,0.827,9,0,Yes,Standard,regular,11D,api_partner,172.98,172.98,EUR,Confirmed
PBK000033,PNR320392,ER0122,London,Paris,Eurostar+SNCF,Eurostar+TGV 2064,Eurostar+TGV,Connection,2025-04-09,2025-06-02,54,0,0,1,18:05,20:57,2h 52m,172,4,220,0.98,9,20,No,Standard,regular,10C,web,176.62,176.62,EUR,Confirmed
PBK000034,PNR197923,ER0589,Copenhagen,Hamburg,Renfe,Avant 6144,Avant,Direct,2025-11-07,2026-01-30,84,4,0,0,13:10,15:32,2h 22m,142,41,180,0.771,7,0,Yes,Standard,regular,17C,agent_portal,136.75,136.75,EUR,Confirmed
PBK000035,PNR519066,ER0498,London,Brussels,SBB,IR 1019,IR,Direct,2025-04-26,2025-08-08,104,4,0,1,17:55,19:19,1h 24m,84,152,520,0.707,8,20,Yes,Standard,regular,13D,mobile_app,148.71,148.71,EUR,Confirmed
PBK000036,PNR989545,ER0939,Madrid,Seville,ÖBB,Regional 3749,Regional,Connection,2025-12-19,2025-12-20,1,5,1,1,16:30,22:01,5h 31m,331,6,300,0.98,10,5,Yes,Standard,regular,2B,api_partner,232.67,232.67,EUR,Confirmed
